Movie_ID,% Action,% Thriller,% Drama,% Acting Quality,% Comedy,% Romance,% Sci-Fi,Average Review Score,Predicted Rating
1,65.49365253574115,73.0888512809321,75.86012520604864,95.08258412597374,26.443630911404213,34.2232186473972,58.05076111233004,1.0672621057785667,5.0
2,87.56165016782765,20.260399500757664,1.0360398835221107,19.438556519473625,0.5012257197910208,58.22278942955745,61.122962112296776,4.6527155654095065,5.0
3,17.55831010809952,85.68866250742441,18.284789734354558,39.1374755671629,69.21517563645256,86.6943085139377,86.18366111857092,1.1792949132645756,5.0
4,56.39749247544524,74.68819029095806,12.311943142435434,71.13431431665342,3.7209225498940013,9.671095858493706,66.44676289755897,4.3608623252442476,5.0
5,63.970508786377565,5.359106980773509,87.80819669565403,48.17617600979205,91.20495476745955,87.97624550227148,1.266382437427671,2.533158168354332,5.0
6,48.37247643136738,74.72613941974537,51.17428904658866,73.76413496635294,53.66096382954518,96.34515846089923,45.20276697749973,3.035526399377554,5.0
7,49.61182304101017,71.52832840853321,25.468960276499054,2.593449902076639,87.56161158162944,69.2022630847501,63.1603422709947,1.0045369108681848,5.0
8,4.785497705509911,38.403496785225144,9.948403047576592,46.17708474300842,55.11934174790437,66.51376139124272,18.31821247819877,1.6736136351845432,3.6786045555024645
9,76.98337852808427,7.494898624732437,64.43015779993603,56.40760433586591,43.868038232825256,84.58540268947016,24.70936669840077,2.762897843661998,5.0
10,88.16459078024958,77.79064555512532,71.71020969907661,54.50193834986737,33.31394849903866,67.97953219501186,63.82269630955957,4.934479351203741,5.0
11,64.28460020884262,52.078196279826805,99.79216056210873,1.0269874889979103,23.377310173123067,84.51515319216499,53.479031934643864,4.703076646809468,5.0
12,30.29814442171228,78.48103850534835,20.821564114647252,88.74919000960298,54.043938170550256,87.60284759662657,59.34976430347747,1.8072253363461757,5.0
13,91.26395704496223,72.69930620650712,22.36765067083224,32.50185626181985,78.34618423662769,87.26801894530517,98.21590564101454,3.9428108864248714,5.0
14,33.938083601603545,69.82639991906045,3.13074132998713,54.45016353535718,35.63993063048474,64.44058309339792,19.983570232212923,4.547198731847331,4.874226287874023
15,66.90252191536045,41.153896365086595,86.14995071458384,24.50824532279412,79.12382986454656,20.334648876881367,20.259091836076404,2.4699164462009144,5.0
16,16.152454636295932,46.145527922804476,50.51580755564707,67.32260152307806,32.06519818787604,40.5995520617098,2.496072989705256,1.5717147599245291,4.413924333700058
17,93.52282253723564,25.148572632934187,79.92021581308269,75.25898380938365,44.514716371652554,90.03613938559626,11.094369281237181,1.1771694918679718,5.0
18,75.83931969117147,59.73332340284803,19.184279550048412,23.505483604330724,14.388802716577121,35.60632689103627,54.81783222019284,1.3882697452123631,5.0
19,74.18332058782359,71.06473941715119,85.84779226968577,83.0476524642145,41.97520273785369,94.06173159377435,10.164375878579845,4.836095458189222,5.0
20,50.14973339570534,41.1319919309419,78.29543993206812,55.14676380192521,4.77684081694435,38.05825985074659,72.60993321644126,1.1308017800299441,5.0
21,75.26697309134084,45.61052753254338,64.03489453446007,46.986235068151,33.69169624780536,21.45654949943324,42.01426070869405,1.085625896862458,5.0
22,64.71500290141462,22.074373610851637,9.492013412437961,40.588998133919,58.94718196712843,93.08813625250713,26.410828370605778,1.3102035491225252,5.0
23,68.47582813429948,60.731553098990396,71.65835512716274,90.58744489340924,33.75816712169034,55.11000946586175,53.839182068251205,2.0254743631144083,5.0
24,60.93172786341526,33.2618243072316,42.154728281642086,51.85191524667634,44.00371889929843,58.2378189258932,53.28042147981682,1.9782390439114783,5.0
25,93.66965723356725,65.11264517597095,1.2868574221956974,83.13545933729439,61.064065560531525,9.384827191369006,28.05454409575364,2.5692906272776574,5.0
26,78.13565811883804,85.84931234753756,42.58197322399132,88.93228353406106,29.49354569030992,32.07484942383595,52.06428921412508,4.325317620819275,5.0
27,43.85526423205787,9.417836358081665,90.62538398206273,98.72912703011033,90.52396946034432,27.73245516034788,5.525962365491688,1.982559483105916,5.0
28,31.637806450276308,27.40368843237617,45.95431511131275,34.018426292487646,66.48223442816018,8.138252192400497,55.711914789122766,3.7189742743693945,5.0
29,50.30372211375808,25.65132824746279,87.5442749913475,37.365030417514454,12.613860477093318,40.550971562479674,22.211510084736496,2.981010293695037,5.0
